x: 217.0, y: 52.0
x: 218.0, y: 53.0
x: 225.0, y: 56.0
x: 238.0, y: 61.0
x: 264.0, y: 70.0
x: 306.0, y: 85.0
x: 356.0, y: 103.0
x: 403.0, y: 118.0
x: 439.0, y: 130.0
x: 462.0, y: 137.0
x: 470.0, y: 139.0
x: 471.0, y: 140.0
x: 476.0, y: 145.0
x: 488.0, y: 156.0
x: 506.0, y: 172.0
x: 527.0, y: 191.0
x: 538.0, y: 200.0
x: 556.0, y: 215.0
x: 569.0, y: 227.0
x: 578.0, y: 235.0
x: 581.0, y: 239.0
x: 582.0, y: 240.0
x: 581.0, y: 241.0
x: 580.0, y: 242.0
button: 1, action: 1, mods: 0
button: 1, action: 0, mods: 0
x: 580.0, y: 239.0
x: 580.0, y: 238.0
x: 581.0, y: 236.0
x: 582.0, y: 232.0
x: 583.0, y: 229.0
x: 581.0, y: 225.0
x: 577.0, y: 223.0
x: 561.0, y: 218.0
x: 530.0, y: 217.0
x: 488.0, y: 219.0
x: 438.0, y: 226.0
x: 411.0, y: 231.0
x: 385.0, y: 236.0
x: 335.0, y: 248.0
x: 298.0, y: 259.0
x: 275.0, y: 267.0
x: 268.0, y: 272.0
x: 279.0, y: 274.0
x: 314.0, y: 275.0
x: 328.0, y: 275.0
x: 343.0, y: 274.0
x: 377.0, y: 269.0
x: 416.0, y: 260.0
x: 454.0, y: 250.0
x: 495.0, y: 238.0
x: 538.0, y: 225.0
x: 583.0, y: 210.0
x: 604.0, y: 202.0
x: 623.0, y: 194.0
x: 653.0, y: 178.0
x: 672.0, y: 165.0
x: 684.0, y: 155.0
x: 696.0, y: 138.0
x: 703.0, y: 128.0
x: 709.0, y: 117.0
x: 713.0, y: 107.0
x: 715.0, y: 100.0
x: 716.0, y: 94.0
x: 718.0, y: 89.0
x: 722.0, y: 84.0
x: 726.0, y: 78.0
x: 732.0, y: 72.0
x: 738.0, y: 67.0
x: 747.0, y: 61.0
x: 762.0, y: 52.0
x: 772.0, y: 45.0
x: 779.0, y: 38.0
x: 786.0, y: 31.0
x: 790.0, y: 26.0
x: 794.0, y: 22.0
x: 796.0, y: 19.0
x: 797.0, y: 18.0
x: 797.0, y: 17.0
x: 797.0, y: 15.0
x: 797.0, y: 14.0
x: 797.0, y: 13.0
x: 795.0, y: 12.0
x: 792.0, y: 10.0
x: 791.0, y: 10.0
x: 789.0, y: 8.0
x: 787.0, y: 5.0
x: 787.0, y: 3.0
x: 787.0, y: 1.0
